playerID,gamesBatted,totalRBI,totalHR,gamesPitched,pitchingERA,opponentBattingAvg,gamesFielded,totalPutOut,totalGames,totalSeasons,managerWins,totalAwards,allstarAppearances,porportionalsal,class
wellsbo01,414,0,0,414,45.419999999999995,0.2708,414,37,414,9,0,0,0,0.28535000,0
reynoro02,143,21,4,0,0,0,139,628,143,6,0,0,0,0.17110000,0
riverru01,662,203,64,0,0,0,615,1191,662,9,0,0,0,0.22018571,0
smithda05,17,0,0,17,9.32,0.30100000000000005,17,1,17,2,0,0,0,0.11053333,0
smithmi05,15,0,0,15,19.65,0.3105,15,1,15,2,0,0,0,0.19920000,0
stewasc01,214,0,0,214,23.93,0.3026,214,1,214,4,0,0,0,0.16352500,0
swanru01,168,0,0,168,46.870000000000005,0.32785714285714285,168,14,168,6,0,0,0,0.28332500,0
tapanke01,361,22,2,361,64.75,0.2679333333333334,361,157,361,13,0,0,0,2.08262500,0
terrelu01,243,52,14,0,0,0,221,359,243,5,0,0,0,0.12190000,0
thurmma01,315,13,0,314,34.059999999999995,0.2785555555555556,314,49,315,8,0,1,0,0.73190000,0
valvejo01,626,0,0,626,43.32,0.21458333333333335,626,34,626,12,0,4,3,1.20644000,0
wallide01,1271,380,49,0,0,0,950,2260,1271,18,0,0,0,0.95877143,0
worreto01,617,0,0,617,36.39,0.2368181818181818,621,30,617,11,0,3,3,1.87365000,1
youmafl01,94,13,2,94,19.53,0.23159999999999997,94,44,94,5,0,0,0,0.24380000,0
rigdopa01,32,2,1,32,17.95,0.2806666666666667,32,17,32,2,0,0,0,0.10265000,0
roberbe01,146,0,0,146,25.3,0.2513333333333333,146,20,146,6,0,0,0,0.26530000,0
sassema01,534,156,16,0,0,0,378,1597,534,9,0,0,0,0.42512857,0
shielsc01,491,0,0,491,32.46000000000001,0.22400000000000003,491,60,491,10,0,0,0,0.87865000,0
shielto01,22,1,0,0,0,0,16,8,22,2,0,0,0,0.13310000,0
spencsh01,538,242,59,0,0,0,457,881,538,7,0,0,0,0.19351429,0
suerowi01,33,0,0,0,0,0,25,17,33,2,0,0,0,0.10835000,0
turanbr01,78,15,1,0,0,0,76,124,78,2,0,0,0,0.11050000,0
venabma01,727,128,18,0,0,0,471,688,727,12,0,0,0,0.37124000,0
whiteed02,36,4,1,0,0,0,32,23,36,1,0,0,0,0.13430000,0
willije02,236,5,0,236,75.53999999999999,0.28778571428571426,236,77,236,11,0,0,0,0.15848000,0
taubeed01,975,419,94,0,0,0,892,5003,975,11,0,0,0,0.54745000,0
vinafe01,1148,343,40,0,0,0,1088,2319,1148,12,0,2,1,0.97626154,0
washbja01,314,4,0,312,56.45,0.259,312,68,314,12,0,0,0,1.70964545,0
willike02,451,119,27,0,0,0,393,749,451,6,0,0,0,0.26532500,0
williwo02,443,43,4,424,65.01,0.2541875,424,159,443,15,0,0,1,1.49167333,1
reesepo01,856,271,44,0,0,0,854,1561,856,8,0,2,0,0.58938889,0
roberri02,114,0,0,114,43.410000000000004,0.31816666666666665,114,25,114,6,0,0,0,0.14293333,0
sebrabo01,95,1,0,94,42.5,0.307,94,24,95,6,0,0,0,0.14160000,0
staplda01,582,224,41,0,0,0,570,3022,582,7,0,0,0,0.70075000,0
telemam01,219,3,0,219,57.21,0.25745454545454544,219,49,219,9,0,0,0,0.16548571,0
urdanli01,3,0,0,3,9,0.7,3,0,3,2,0,0,0,0.12040000,0
redditi01,181,10,0,179,97.09,0.3148888888888889,179,39,181,8,0,0,0,0.31304000,0
rodriri02,610,1,0,609,51.78999999999999,0.2513571428571429,609,38,610,13,0,0,0,0.33853000,0
ruschgl01,348,19,3,342,80.28,0.30878571428571433,342,51,348,12,0,0,0,0.68173333,0
snydeco02,1068,488,149,0,0,0,1084,2164,1068,9,0,0,0,0.79951111,0
spillda01,559,1,0,556,59.089999999999996,0.27785714285714286,556,81,559,12,0,0,0,0.81880000,0
uguetlu01,74,2,1,0,0,0,26,13,74,2,0,0,0,0.08360000,0
vizquom01,2968,951,80,0,0,0,2940,4268,2968,24,0,12,3,1.40857500,1
waltege01,128,0,0,128,18.02,0.2346,128,13,128,4,0,0,0,0.21703333,0
colcoto01,53,16,0,49,21.970000000000002,0,50,17,53,4,0,0,0,1.00000000,0
reedda01,82,16,6,0,0,0,56,71,82,2,0,0,0,0.13273333,0
rodriiv01,2543,1332,311,0,0,0,2436,14922,2543,21,0,29,14,2.98374000,1
spencst02,24,1,0,23,17.12,0.27266666666666667,23,9,24,3,0,0,0,0.13400000,0
stupejo01,111,8,0,111,16.87,0.28275,111,41,111,4,0,0,0,0.52490000,0
sweenma01,1218,250,42,0,0,0,461,1534,1218,14,0,0,0,0.20636667,0
thursjo01,184,27,1,0,0,0,143,100,184,7,0,0,0,0.13285000,0
wagnepa01,162,9,0,160,43.94999999999999,0.2793333333333333,160,50,162,8,0,0,0,0.23071667,0
winnji01,161,0,0,161,30.82,0.2801666666666667,161,20,161,6,0,0,0,0.29285000,0
wrighja02,227,6,1,226,73.28,0.29125,226,71,227,11,0,0,0,1.10334545,0
richach01,280,122,34,0,0,0,199,937,280,5,0,0,0,0.11790000,0
sanchis01,30,0,0,30,12.920000000000002,0.323,30,3,30,2,0,0,0,0.13920000,0
wittmi01,341,0,0,341,55.90999999999999,0.2611538461538462,341,147,341,12,0,0,2,2.48611111,1
ramirho01,171,5,0,169,44.830000000000005,0.3045555555555555,169,38,171,8,0,0,0,0.43595000,0
reithbr01,73,2,0,73,19.189999999999998,0.29466666666666663,73,2,73,3,0,0,0,0.13130000,0
reynosh01,306,43,5,305,54.03999999999999,0.2986153846153846,305,121,306,13,0,0,1,1.64846364,1
steinbi02,959,311,44,0,0,0,824,1226,959,14,0,0,0,0.52490000,0
thompri02,29,1,0,0,0,0,15,10,29,2,0,0,0,0.12040000,0
colemjo03,1,0,0,1,13.5,0,1,0,1,1,0,0,0,1.00000000,0
robergr01,76,0,0,76,38.73,0.3045999999999999,76,8,76,5,0,0,0,0.11250000,0
rodnefe01,951,0,0,951,84.93,0.23961904761904762,951,59,951,17,0,1,3,0.79588462,0
steinbl01,117,0,0,117,44.669999999999995,0.28883333333333333,117,18,117,5,0,0,0,0.21404000,0
steinte01,1546,745,162,0,0,0,1480,7849,1546,14,2,1,3,1.91773077,1
sternad01,54,7,1,0,0,0,35,31,54,4,0,0,0,0.11910000,0
tollewa01,863,133,9,0,0,0,847,1103,863,10,0,0,0,0.71260000,0
warddu01,462,0,0,462,72.12,0.2857,462,37,462,9,0,0,1,2.05832500,0
willima05,365,0,0,365,28.43,0.263125,365,75,365,8,0,0,0,0.44692500,0
romanjo02,14,0,0,14,31.16,0.29033333333333333,14,5,14,3,0,0,0,0.14380000,0
sandean01,13,4,0,0,0,0,11,15,13,3,0,0,0,0.08880000,0
scutama01,1391,509,77,0,0,0,1383,1958,1391,13,0,1,1,0.93231818,0
skinnjo01,564,136,17,0,0,0,563,2426,564,9,35,0,0,0.46686250,0
soffra01,42,0,0,42,9.75,0.275,42,7,42,2,0,0,0,0.14380000,0
sanchfr01,904,371,48,0,0,0,873,1466,904,10,0,0,3,1.10025556,1
tatumji01,173,29,3,0,0,0,52,109,173,5,0,0,0,0.14340000,0
whitede03,1941,846,208,0,0,0,1867,4739,1941,17,0,7,3,1.93902500,1
whiteri01,615,1,0,613,80.61999999999999,0.28335294117647064,613,36,615,12,0,0,0,0.25284000,0
willimi03,469,7,0,468,64.19,0.2599285714285714,468,58,469,12,0,0,2,0.44998000,0
vosbeed01,266,0,0,266,68.79,0.3104166666666667,266,8,266,10,0,0,0,0.26734286,0
vanpoto01,359,2,0,359,89.83,0.28521428571428575,359,38,359,11,0,0,0,0.45537778,0
trlicri01,87,0,0,87,38.95,0.2776666666666667,87,15,87,5,0,0,0,0.13466000,0
turnech01,158,36,4,0,0,0,154,676,158,8,0,0,0,0.12315000,0
varitja01,1546,757,193,0,0,0,1488,10166,1546,15,0,3,3,1.71470714,1
welleto01,211,6,0,208,56.39,0.26949999999999996,208,36,211,8,0,0,0,0.34960000,0
willima06,11,0,0,11,7,0.219,11,0,11,1,0,0,0,0.10040000,0
trubych01,263,107,23,0,0,0,246,172,263,4,0,0,0,0.11793333,0
vogelry01,292,12,1,289,66.81,0.27092307692307693,289,72,292,12,0,0,1,0.59855556,0
wehnejo01,461,54,4,0,0,0,348,376,461,11,0,0,0,0.17192857,0
torredi01,24,0,0,24,6.09,0.311,24,6,24,1,0,0,0,0.11300000,0
westbja01,319,14,1,315,70.38,0.2914285714285714,315,193,319,13,0,0,1,1.83894167,0
villabr01,91,0,0,91,34.33,0.2954,91,11,91,5,0,0,0,0.11740000,0
vuckope01,286,13,0,286,51.08,0.2768181818181818,286,87,286,11,0,1,0,1.13370000,1
welshch01,122,18,1,122,25.150000000000002,0.2753333333333334,122,21,122,5,0,0,0,0.19180000,0
whitema03,7,0,0,7,49.5,0.38933333333333336,7,0,7,2,0,0,0,0.11660000,0
waddeto01,113,0,0,113,22.22,0.24666666666666667,113,18,113,3,0,0,0,0.45485000,0
connafr01,146,77,4,0,0,0,140,247,146,3,0,0,0,1.00000000,0
winnra01,1717,662,110,0,0,0,1606,3687,1717,13,0,0,1,1.21987500,1
